;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157
0;0 - 0;0 - 0;0 - 0;0 - 0;0 - 0;1 - 0;0 - 0;0 - 1;0 - 0;1 - 0;0 - 0;0 - 0;1 - 0;0 - 1;1 - 0;0 - 1;0 - 1;0 - 1;0 - 0;0 - 0;1 - 0;1 - 0;0 - 1;0 - 0;1 - 0;1 - 0;0 - 1;0 - 1;0 - 0;0 - 1;0 - 1;1 - 0;1 - 0;1 - 0;0 - 0;0 - 0;1 - 0;0 - 0;0 - 0;0 - 0;0 - 0;1 - 0;0 - 1;0 - 0;0 - 1;0 - 0;0 - 1;0 - 1;0 - 0;0 - 0;0 - 0;0 - 1;0 - 1;0 - 1;1 - 0;0 - 0;0 - 1;0 - 1;0 - 0;0 - 0;0 - 0;1 - 0;0 - 1;0 - 1;0 - 1;0 - 1;0 - 1;1 - 0;0 - 0;0 - 1;0 - 0;0 - 1;0 - 0;0 - 0;1 - 0;0 - 1;0 - 1;0 - 1;0 - 1;0 - 0;1 - 0;0 - 0;1 - 0;0 - 1;0 - 1;1 - 0;1 - 0;0 - 1;1 - 0;0 - 1;0 - 0;0 - 1;1 - 0;0 - 0;0 - 1;0 - 0;0 - 1;0 - 1;0 - 0;0 - 0;1 - 0;0 - 0;1 - 0;0 - 0;0 - 1;1 - 0;0 - 0;1 - 0;0 - 1;0 - 0;0 - 1;0 - 0;0 - 0;0 - 1;1 - 0;0 - 1;1 - 0;1 - 0;0 - 1;1 - 0;0 - 1;1 - 0;1 - 0;1 - 0;0 - 0;0 - 1;1 - 0;0 - 0;0 - 0;0 - 0;0 - 0;1 - 0;1 - 0;0 - 0;0 - 1;0 - 1;0 - 1;0 - 0;0 - 0;1 - 0;1 - 0;0 - 0;0 - 1;0 - 0;0 - 0;0 - 1;0 - 0;0 - 0;1 - 0;0 - 0;1 - 0;1 - 0;0 - 1;0 - 0;0 - 0;0 - 1;0 - 0
1;b2, b3;e2, e4;h2, h3;e2, e4;e2, e3;g2, g3;d2, d4;g2, g4;a2, a4;g1, f3;a2, a3;g1, h3;b2, b4;f2, f4;c2, c4;b1, a3;e2, e3;b2, b3;a2, a4;c2, c3;g1, h3;h2, h4;f2, f3;f2, f3;g1, h3;g2, g3;b1, c3;a2, a4;h2, h4;d2, d3;e2, e3;e2, e3;d2, d3;h2, h3;e2, e4;g2, g3;g1, h3;e2, e4;d2, d3;e2, e4;a2, a4;g2, g4;h2, h4;g1, h3;b2, b3;b2, b4;e2, e3;h2, h3;h2, h4;e2, e4;b2, b3;h2, h4;a2, a4;c2, c4;b2, b3;g1, f3;g2, g4;b2, b3;g1, h3;g1, h3;e2, e4;a2, a4;f2, f3;a2, a4;h2, h3;b2, b3;b1, a3;f2, f3;f2, f4;c2, c4;h2, h3;a2, a4;g1, h3;g1, h3;d2, d4;f2, f3;d2, d3;g2, g3;d2, d4;g1, h3;f2, f4;d2, d4;b2, b3;a2, a3;h2, h3;f2, f3;e2, e3;g1, f3;f2, f3;g2, g3;f2, f3;b1, a3;b1, c3;g2, g4;a2, a3;f2, f4;f2, f3;h2, h4;c2, c3;g2, g3;b2, b3;d2, d4;g1, f3;h2, h3;f2, f3;h2, h4;g1, f3;e2, e4;f2, f4;b1, a3;g2, g4;a2, a4;a2, a3;g1, h3;a2, a4;b1, c3;g2, g3;e2, e4;c2, c4;f2, f3;b2, b4;d2, d4;g1, h3;f2, f4;b1, c3;a2, a3;c2, c3;g1, h3;h2, h4;b1, c3;g2, g4;d2, d4;d2, d4;c2, c3;c2, c3;a2, a4;d2, d3;h2, h3;g2, g3;e2, e4;e2, e3;e2, e4;d2, d4;c2, c3;a2, a3;g1, h3;c2, c4;h2, h4;e2, e4;b2, b4;g1, f3;g1, f3;g2, g3;h2, h3;g2, g3;f2, f4;c2, c4
2;b7, b6;f7, f5;g8, h6;e7, e6;g8, f6;b7, b5;c7, c6;d7, d6;e7, e5;b7, b5;h7, h5;h7, h5;f7, f6;d7, d5;d7, d6;c7, c5;g7, g5;f7, f5;g8, f6;b7, b6;c7, c6;g8, h6;g8, f6;e7, e5;e7, e5;c7, c5;d7, d5;f7, f5;g8, h6;e7, e5;g8, f6;c7, c5;f7, f5;g7, g6;e7, e6;g7, g5;h7, h5;e7, e5;g7, g6;f7, f6;b8, c6;b7, b6;d7, d5;c7, c6;g7, g6;d7, d5;c7, c6;d7, d5;b8, a6;e7, e6;g8, f6;h7, h5;g8, f6;g8, h6;d7, d6;g7, g6;b7, b6;b7, b5;g8, f6;g7, g5;d7, d5;c7, c5;b8, a6;h7, h5;b7, b5;f7, f5;f7, f6;f7, f6;d7, d5;h7, h6;c7, c6;f7, f6;b8, c6;b8, a6;h7, h5;h7, h5;b8, a6;e7, e5;g8, h6;g8, h6;a7, a6;c7, c5;c7, c5;f7, f6;b7, b6;b8, a6;a7, a6;d7, d5;a7, a6;d7, d6;b8, a6;f7, f5;g7, g6;e7, e5;f7, f6;g8, h6;f7, f6;g7, g6;f7, f6;b8, a6;e7, e5;c7, c6;c7, c6;d7, d6;b8, a6;d7, d5;a7, a5;a7, a5;b7, b6;a7, a6;h7, h6;a7, a6;a7, a6;e7, e6;b7, b5;f7, f6;h7, h5;g7, g5;g8, f6;b8, c6;f7, f6;b7, b5;c7, c6;e7, e6;d7, d6;b8, a6;c7, c6;b7, b5;g7, g5;a7, a6;b7, b6;b8, a6;e7, e5;h7, h5;f7, f6;b8, a6;f7, f6;g8, f6;e7, e6;f7, f6;a7, a5;e7, e5;f7, f5;f7, f6;b8, c6;c7, c5;a7, a5;g8, h6;h7, h6;c7, c5;b7, b5;e7, e6;g8, f6;g7, g6;b8, c6;b7, b5;h7, h6
3;h2, h3;f1, b5;a2, a3;f1, c4;a2, a4;g1, f3;a2, a3;f2, f3;b2, b3;g2, g3;f2, f4;e2, e4;g1, h3;e1, f2;d2, d3;a3, b5;f1, a6;g2, g3;f2, f4;e2, e3;g2, g3;f2, f3;c2, c4;g2, g3;b2, b3;h2, h3;f2, f3;g1, f3;b1, c3;b1, d2;d1, f3;b2, b3;b2, b3;b2, b3;e1, e2;g1, f3;c2, c3;c2, c3;c1, h6;f1, a6;b2, b3;f2, f4;f2, f4;a2, a3;g1, f3;c2, c4;d1, e2;g2, g4;c2, c3;h2, h3;a2, a4;d2, d4;b1, a3;f2, f3;g1, h3;h1, g1;f1, h3;g1, f3;d2, d4;a2, a3;g1, e2;g1, f3;b1, c3;d2, d3;b2, b3;a2, a3;d2, d4;g2, g4;b1, a3;g1, h3;g2, g4;f2, f4;e2, e4;b2, b3;a2, a4;c2, c3;b1, a3;g1, f3;c1, f4;h1, g1;b1, a3;g2, g4;d2, d4;d2, d4;d2, d3;h2, h3;f1, c4;f3, h4;d2, d4;d2, d3;a2, a3;h2, h3;g1, h3;b1, a3;g1, f3;d2, d3;d2, d4;e2, e4;a2, a4;g3, g4;g2, g4;e1, d2;b2, b4;b1, a3;a2, a3;d2, d4;b2, b4;a2, a4;g2, g3;e2, e4;d2, d3;g1, f3;g2, g4;c2, c3;b1, a3;c3, b5;b1, a3;a2, a3;b2, b3;e1, f2;f2, f4;g1, f3;g2, g3;b1, a3;e2, e4;g2, g4;b2, b3;h3, g1;g1, h3;e2, e3;f2, f3;a2, a3;f2, f4;h2, h4;g2, g3;d2, d3;c2, c3;b2, b4;d2, d4;c2, c4;c2, c4;g1, e2;b2, b3;f2, f4;g2, g4;c2, c3;d1, a4;e2, e3;h2, h4;a2, a3;h2, h3;h1, g1;h2, h3;e2, e3;g3, g4;h2, h3;a2, a4
4;b6, b5;b8, a6;d7, d6;d8, g5;d7, d5;g8, f6;b8, a6;c7, c6;h7, h6;g7, g5;d7, d6;b7, b6;g7, g6;g8, h6;c7, c5;e7, e6;e7, e6;e8, f7;a7, a5;b8, c6;b8, a6;a7, a6;a7, a5;f8, d6;d8, h4;g7, g6;b8, a6;b7, b6;f7, f5;d7, d6;b7, b6;a7, a5;b8, a6;d7, d5;a7, a6;f7, f5;g7, g5;f8, e7;a7, a6;c7, c5;c6, b4;g7, g5;c8, f5;g8, h6;c7, c6;d8, d7;c6, c5;d5, d4;d7, d6;b8, c6;c7, c6;b7, b5;g7, g6;c7, c6;e7, e5;f8, h6;f7, f5;e7, e6;f6, h5;d7, d5;g7, g5;e7, e5;g7, g5;g8, h6;g7, g6;e8, f7;b8, a6;b7, b5;c8, h3;e7, e6;d7, d6;b7, b6;c6, e5;c7, c6;g7, g5;e7, e5;f7, f6;f7, f6;a7, a6;c7, c6;d7, d5;f7, f6;e7, e5;d7, d5;c8, a6;a8, b8;f7, f5;b8, d7;a8, a7;e7, e5;h7, h5;h7, h6;a7, a6;d7, d6;g7, g6;a7, a5;g8, h6;h7, h5;e7, e5;c7, c6;g8, f6;b7, b5;c6, c5;h7, h6;a6, c5;c7, c5;b8, c6;c7, c6;f7, f6;f7, f5;b8, c6;d7, d6;f7, f5;b7, b5;d7, d6;a7, a5;c7, c5;c7, c5;e7, e6;c6, b4;g7, g5;h7, h5;f7, f5;g7, g6;d6, d5;b7, b6;a7, a5;a7, a6;a7, a6;h7, h6;e7, e5;a6, b8;d8, e7;a7, a5;a7, a6;f7, f6;e7, e5;e7, e5;g7, g6;e7, e6;b8, a6;f8, d6;e7, e5;h7, h6;a7, a6;d8, c7;a8, a6;f7, f5;a7, a5;b8, a6;g7, g5;h7, h6;b8, a6;c7, c5;f7, f5;d7, d5;c7, c5
5;c1, a3;g2, g4;a3, a4;c4, d5;h2, h4;b2, b3;c1, e3;g1, h3;g2, g3;c2, c4;g2, g4;b1, a3;h3, f4;e2, e4;b1, c3;g1, f3;b2, b3;d2, d4;g2, g3;g1, e2;d2, d3;g1, h3;g1, h3;c2, c3;h3, g1;f1, g2;f3, f4;c2, c4;h1, h2;d2, c4;f3, h5;g1, h3;b1, a3;a2, a3;e2, e3;d2, d4;g2, g3;g2, g4;h6, f8;b1, c3;g2, g3;f4, f5;h1, h2;d2, d4;e2, e4;c4, d5;c2, c3;b2, b4;h4, h5;e1, e2;b3, b4;c1, d2;g2, g3;e1, f2;b3, b4;g2, g4;c2, c3;g2, g4;b1, c3;f2, f4;a2, a3;a1, a3;c3, d5;g2, g4;g2, g4;g1, h3;c2, c3;h2, h4;e1, f2;a2, a3;d2, d4;e1, f2;b1, c3;g2, g3;h2, h3;h2, h3;h2, h3;f3, h4;e2, e4;e2, e4;c2, c3;b1, c3;f2, f4;e2, e3;c2, c4;b1, c3;d1, e2;h1, g1;g2, g3;f2, f3;a3, a4;d2, d4;b2, b4;f2, f4;e2, e4;f4, f5;c1, d2;c2, c3;a4, a5;h2, h4;f2, f4;b2, b3;f3, e5;d2, d3;e2, e3;c2, c3;e2, e4;b1, c3;e2, e3;d2, d3;e2, e3;e2, e4;e2, e3;e2, e4;a1, a2;g1, h3;f2, f4;g1, f3;c1, a3;c2, c3;h2, h3;f3, d2;b1, a3;b2, b4;a2, a4;c2, c3;h2, h3;b2, b3;a2, a3;f1, d3;a2, a4;b2, b3;d4, e5;d1, a4;g1, h3;a1, a2;g2, g3;h1, h2;e2, e4;g1, e2;g2, g3;d2, d4;d1, d3;b2, b4;g4, g5;g2, g3;a4, b4;g2, g3;d2, d3;g1, f3;d2, d4;a2, a3;b1, c3;c2, c4;a2, a4;g2, g3;h2, h4
6;a7, a6;a6, c5;c8, d7;b8, a6;d5, d4;g7, g6;d7, d5;c8, g4;f8, a3;c8, b7;c8, d7;b6, b5;b7, b6;h6, f5;b8, d7;d8, c7;h7, h6;a7, a6;e7, e6;g8, h6;b7, b6;c7, c5;c7, c6;g8, h6;b8, c6;d7, d5;b7, b6;d7, d5;d7, d6;f7, f6;b6, b5;g7, g6;g7, g5;a7, a5;c7, c6;a7, a6;h8, h6;d7, d6;g6, g5;e7, e5;b4, a2;g8, h6;d8, c8;b7, b5;b7, b6;a7, a5;g8, f6;h7, h6;c7, c5;a8, b8;a7, a5;f7, f6;c7, c5;f7, f6;e5, e4;h6, f4;g7, g5;f8, d6;b7, b6;c8, h3;b8, d7;g8, h6;d7, d6;a7, a5;f8, g7;f5, f4;a6, b4;b5, b4;g7, g5;g8, f6;c8, g4;e8, f7;g8, f6;g8, h6;c7, c5;g8, e7;d7, d5;f8, b4;b7, b6;d8, b6;d5, d4;c5, c4;g7, g6;c7, c6;g8, h6;b7, b6;d7, d6;b7, b5;h7, h6;b8, c6;c7, c5;h6, h5;a8, a7;c8, d7;f8, h6;c7, c5;b8, a6;g6, g5;e5, e4;d7, d6;c7, c6;a7, a6;d8, c7;c8, e6;g8, f6;b7, b6;a8, b8;d7, d6;g7, g5;e8, f7;c6, a5;c8, h3;g7, g5;a7, a5;d6, d5;e7, e6;d7, d5;b7, b6;h7, h6;g8, h6;g5, g4;a7, a6;e7, e6;e8, e7;d5, e4;a6, b8;d7, d5;f7, f5;g5, h4;h6, h5;b8, c6;g7, g5;b8, a6;a8, a6;b7, b6;h7, h6;c7, c6;h8, g8;a7, a5;g7, g5;e7, e5;d6, a3;f8, b4;d7, d6;c6, e5;h7, h5;e7, e6;g7, g5;g7, g6;g8, h6;c8, a6;c7, c6;h7, h6;f7, f6;f5, g4;b5, b4;h8, h7
7;g2, g4;b5, e2;d2, d3;d5, b3;a4, a5;h2, h3;a1, a2;h3, g5;a1, a3;d1, a4;d2, d4;h3, g1;f4, d3;d1, f3;g1, h3;h2, h3;d2, d4;c1, d2;g3, g4;f2, f4;f2, f3;g2, g3;d2, d4;d1, a4;b3, b4;a2, a4;e2, e3;f3, g5;g1, f3;b2, b3;h5, f5;b1, c3;e2, e3;c1, b2;f1, e2;d4, d5;e2, e3;f1, g2;a2, a4;a1, b1;g1, f3;a2, a4;c2, c4;h3, g1;e4, e5;h2, h4;h2, h4;f2, f3;a2, a3;e2, e1;b1, c3;e2, e4;g1, f3;a2, a3;f2, f3;b1, c3;b1, a3;a2, a4;c3, b1;e1, f2;a3, a4;g2, g4;d5, b4;g1, f3;c1, b2;h3, g5;a1, b1;h1, h3;g1, h3;a1, a2;c1, d2;b2, b4;c3, a4;c2, c4;b2, b3;b2, b4;b2, b4;h4, g6;f1, c4;d1, f3;d1, b3;a2, a3;c2, c3;g1, h3;c1, e3;c3, d5;b1, c3;h4, f5;b1, d2;f1, h3;a1, a2;e2, e3;f2, f3;f1, h3;f3, h4;c2, c3;e2, e4;a2, a3;a1, a3;g4, g5;f4, e5;d2, c3;c1, a3;g1, f3;c2, c4;b1, a3;f1, b5;d1, e2;b2, b4;g2, g3;e3, e4;f3, e5;a3, a4;e1, e2;f2, f4;g2, g3;f4, f5;f1, e2;d1, c2;f3, f4;b1, c3;f2, f4;e2, e4;e2, e3;a4, a5;c3, c4;h3, h4;g2, g4;h3, g5;a1, b1;f1, h3;e1, d2;g1, h3;c3, c4;h3, g5;e2, e4;b2, b3;b1, a3;d1, h5;e2, c3;f1, e2;b2, b4;c1, d2;b1, a3;e2, e4;f1, g2;b4, b3;d1, h5;h1, h2;b4, c5;f3, g1;b2, b3;c3, b1;f1, e2;f1, h3;g3, g4;b1, a3
8;a8, a7;a7, a5;d6, d5;g5, c5;c8, d7;b5, b4;e8, d7;a7, a5;g8, f6;b7, c8;d7, g4;h8, h7;h7, h5;h8, g8;a8, b8;d7, d6;e6, e5;g7, g6;f8, a3;a7, a6;c8, b7;b8, c6;d7, d6;b7, b5;d7, d6;f7, f5;c8, b7;b8, c6;d6, d5;c8, f5;b8, c6;g6, g5;a6, c5;c8, g4;e8, e7;h7, h6;b8, a6;c8, g4;e7, e6;f8, d6;a7, a6;h6, g8;f5, h3;e7, e6;a7, a6;d7, d6;h8, g8;c8, e6;g8, f6;g8, h6;f6, h5;h8, h6;a7, a5;d7, d6;c7, c6;b8, c6;f8, g7;g8, e7;a7, a6;f8, g7;h7, h6;d8, c7;f7, f5;h6, g8;g8, h6;f7, e8;b4, d3;e7, e6;c7, c6;f6, h5;a7, a6;e7, e5;h7, h6;f7, f6;f7, f5;h8, h7;g7, g6;e8, f7;e7, e5;b6, c5;b8, c6;e8, f7;d7, d5;a7, a5;e7, e6;a6, c5;a6, a5;a7, a5;b7, b5;h7, h6;d8, c7;b7, b5;e7, e5;d8, f6;b8, c6;b8, c6;f6, f5;c7, c6;f8, b4;d8, b6;d7, d5;g8, h6;f7, f5;b8, a6;f6, g4;f7, f6;c6, a7;b8, d7;g5, g4;b8, c6;f7, f6;h3, e6;h7, h5;f8, c5;d5, d4;e8, f7;b7, b6;b6, b5;f8, a3;a7, a6;b7, b6;h5, h4;e8, f7;f8, g7;b8, d7;e7, e6;c8, g4;f5, g4;a6, a5;b7, b6;h7, h5;g5, g4;e7, h4;b8, c6;b6, b5;a6, b8;e8, f7;f8, b4;c7, c6;d8, e7;d8, e7;e8, f8;c7, c5;a7, a6;e5, g4;c7, c6;g7, g6;h6, f7;b8, c6;d8, b6;f7, f6;f8, d6;g7, g5;b7, b6;e7, e6;h7, h6;a7, a6
9;g4, g5;b1, a3;c1, h6;b3, a4;a1, a3;d2, d4;b1, c3;f3, f4;h2, h4;h1, g1;b2, b4;g1, e2;d3, f4;e4, e5;b2, b4;b5, a7;d1, d2;d2, b4;g4, g5;h2, h4;d1, d2;h1, g1;e1, f2;a4, b5;e2, e3;a1, a2;a1, b1;g2, g4;h2, h3;f2, f3;g2, g3;c1, b2;a1, b1;b2, h8;h2, h4;f3, g1;f1, b5;b2, b3;f8, c5;a6, f1;h2, h3;g1, f3;f4, f5;a1, a2;b1, a3;d2, d3;b1, a3;e1, f2;f2, f3;g2, g4;e2, e4;d2, g5;d2, d3;d1, a4;a2, a3;g1, g3;b2, b4;f3, h4;d1, d3;f4, g5;a1, a3;a3, e3;d2, d3;a1, a2;e2, e3;e2, e4;e2, d3;f3, f4;f4, g5;a2, a1;c2, c3;f2, e3;h3, f4;f2, f3;e2, e3;h3, h4;a1, b1;f2, f3;b2, b3;f3, a3;e2, e4;f2, f3;g1, h3;g2, g3;e1, d2;e1, f2;e2, g4;g2, g4;d2, e4;c1, h6;b2, b4;c2, c4;a2, a4;c2, c3;c2, c4;c1, d2;c2, c4;a1, a2;f2, f4;f1, g2;c1, b2;e2, e3;f2, f3;h1, g1;b2, b4;f2, f3;d2, d3;e4, e5;h2, h4;g1, f3;a2, a3;a4, a5;g1, h3;e2, f3;b2, b3;b5, d6;a1, b1;b1, c3;f2, f4;h2, h3;c3, d5;h2, h3;d1, e2;f1, c4;d2, d4;g1, h3;a2, a4;b1, c3;h1, h4;d3, e4;a1, a3;g1, f3;g2, g3;a4, a3;f1, h3;b1, d2;b1, d2;g1, f3;a2, a4;d1, b3;e2, f1;c2, c4;a2, a4;d1, c2;a3, a4;e1, f1;h2, h3;b1, a3;a2, a4;f3, e5;a2, a4;g2, g3;e2, e3;g2, g4;c2, c3;a2, a4;d2, d3
